                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1382,                 1.4647,                 1.2265,                0.65053,                0.54153,                0.61508,                0.45592,                 1.0849,                 1.1269,                 1.1256,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1741,                 1.3505,                 1.2526,                0.70091,                0.53919,                0.63604,                 0.4746,                 1.0761,                  1.089,                 1.1214,             1.7261e-05,             1.7261e-05,             1.7261e-05
                      3,                 1.1979,                 1.3367,                 1.2516,                0.69026,                0.56393,                0.64686,                0.48196,                 1.0677,                 1.0638,                 1.1176,             2.5564e-05,             2.5564e-05,             2.5564e-05
                      4,                 1.1579,                 1.2981,                  1.238,                0.71576,                0.57512,                0.66232,                0.49269,                 1.0579,                 1.0387,                 1.1113,             3.3238e-05,             3.3238e-05,             3.3238e-05
                      5,                 1.1622,                 1.2493,                  1.206,                0.69929,                0.59419,                0.67262,                0.50431,                 1.0473,                  1.015,                 1.1023,             4.0284e-05,             4.0284e-05,             4.0284e-05
                      6,                 1.1014,                 1.1634,                 1.1879,                0.69363,                0.60822,                 0.6815,                0.50742,                 1.0509,                 1.0066,                 1.1041,             4.6702e-05,             4.6702e-05,             4.6702e-05
                      7,                 1.0777,                 1.2012,                 1.1972,                0.71963,                0.61645,                0.69279,                0.51247,                 1.0514,                 0.9914,                 1.1017,             5.2491e-05,             5.2491e-05,             5.2491e-05
                      8,                 1.1014,                 1.1281,                 1.1985,                0.75727,                0.61736,                0.70575,                0.52071,                 1.0375,                 0.9552,                  1.093,             5.7652e-05,             5.7652e-05,             5.7652e-05
                      9,                 1.1247,                 1.2079,                 1.2211,                0.77061,                0.61821,                0.72636,                0.53565,                 1.0279,                0.92484,                 1.0862,             6.2185e-05,             6.2185e-05,             6.2185e-05
                     10,                 1.1043,                 1.1597,                 1.1899,                 0.7646,                0.64876,                 0.7347,                0.54269,                 1.0225,                0.91029,                 1.0843,             6.6089e-05,             6.6089e-05,             6.6089e-05
                     11,                 1.1482,                  1.156,                 1.2019,                0.80047,                 0.6438,                0.74447,                0.55194,                   1.01,                0.89669,                 1.0779,             6.9365e-05,             6.9365e-05,             6.9365e-05
                     12,                 1.0422,                 1.1072,                 1.1665,                0.81109,                0.64068,                 0.7489,                0.55891,                 1.0008,                 0.8797,                 1.0732,             7.2013e-05,             7.2013e-05,             7.2013e-05
                     13,                 1.0328,                 1.0425,                 1.1566,                0.79186,                0.66181,                0.75738,                 0.5658,                0.99066,                0.86369,                 1.0678,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     14,                  1.037,                 1.0444,                 1.1263,                0.82076,                0.67996,                0.76713,                0.57475,                0.98468,                0.85539,                 1.0639,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     15,                 1.0657,                 1.0886,                  1.139,                0.80474,                0.69363,                 0.7768,                0.58449,                0.98108,                 0.8437,                 1.0609,             6.7949e-05,             6.7949e-05,             6.7949e-05
                     16,                 1.0652,                 1.0419,                 1.1299,                0.78999,                0.70482,                0.78155,                0.59098,                0.97205,                0.82779,                 1.0562,             6.4022e-05,             6.4022e-05,             6.4022e-05
                     17,                  1.046,                 1.0283,                 1.1447,                0.81519,                0.72374,                0.78368,                0.59863,                0.96233,                0.80886,                   1.05,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     18,                 1.0079,                 0.9852,                 1.1482,                0.81011,                0.73557,                0.78735,                0.60112,                0.95424,                0.78918,                 1.0456,             5.6168e-05,             5.6168e-05,             5.6168e-05
                     19,                 1.0202,                 1.0102,                 1.1503,                0.82107,                0.73589,                0.79403,                0.60671,                0.94693,                0.77174,                 1.0425,             5.2241e-05,             5.2241e-05,             5.2241e-05
                     20,                  1.003,                0.96718,                 1.1292,                0.81275,                0.74312,                0.80053,                0.61239,                0.94055,                0.75795,                 1.0394,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     21,                 1.0598,                 1.0247,                 1.1291,                0.80164,                0.74905,                0.80116,                 0.6148,                0.93728,                0.75369,                 1.0372,             4.4387e-05,             4.4387e-05,             4.4387e-05
                     22,                  1.087,                 1.0258,                 1.1606,                0.77523,                0.74399,                0.80039,                0.61596,                0.93318,                0.75212,                 1.0353,              4.046e-05,              4.046e-05,              4.046e-05
                     23,                  1.027,                0.97578,                  1.117,                0.79842,                0.72735,                0.79981,                 0.6176,                0.92956,                0.74983,                 1.0331,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     24,                 1.0446,                 1.0038,                 1.1248,                0.76349,                0.74087,                0.79746,                0.61713,                0.92759,                0.75241,                 1.0318,             3.2606e-05,             3.2606e-05,             3.2606e-05
                     25,                0.99827,                0.90679,                 1.1043,                0.75442,                0.74003,                0.79565,                0.61754,                  0.928,                0.75323,                 1.0314,             2.8679e-05,             2.8679e-05,             2.8679e-05
                     26,                 1.0194,                0.96581,                 1.0968,                0.77604,                0.73421,                0.79607,                0.61535,                0.92793,                0.75314,                 1.0306,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     27,                 1.0245,                0.94634,                  1.121,                0.78769,                0.71987,                 0.7976,                0.61652,                0.92562,                0.75296,                 1.0284,             2.0825e-05,             2.0825e-05,             2.0825e-05
                     28,                 1.0091,                0.89753,                 1.0892,                0.78236,                0.72276,                 0.7982,                0.61817,                0.92094,                0.75389,                 1.0255,             1.6898e-05,             1.6898e-05,             1.6898e-05
                     29,                 1.0144,                0.94044,                 1.1099,                0.78399,                0.71903,                0.79564,                0.61809,                0.91897,                0.75479,                 1.0243,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     30,                 1.0051,                0.90803,                 1.1089,                0.78243,                0.72194,                0.79526,                0.62045,                0.91698,                0.75446,                 1.0227,              9.044e-06,              9.044e-06,              9.044e-06
